response	sample_type	source	target	n_interaction	prob_mean	prob_med
R	pre	Fibroblast	Tumor_Gp1	176	0.021802834178672327	0.01005470328744957
R	pre	Myeloid	B & Plasma	24	0.01812165668653926	0.006154303691960688
R	pre	Myeloid	Endothelial	36	0.017280511515402993	0.0061566742286877675
R	pre	Myeloid	Fibroblast	41	0.011236218457477042	0.003805366102428508
R	pre	Myeloid	Myeloid	62	0.016722609170755763	0.00787023995184191
R	pre	Myeloid	T cells	58	0.023368614231114405	0.014792085395904623
R	pre	Myeloid	Tumor_Gp1	48	0.01027045993752674	0.004341463351819509
R	pre	Myeloid	Tumor_Gp2	1	0.020631134929729268	0.020631134929729268
R	pre	T cells	B & Plasma	13	0.0294296810386707	0.007884504070625183
R	pre	T cells	Endothelial	21	0.019219724604087707	0.01154799993457418
R	pre	T cells	Fibroblast	23	0.015570315689955013	0.007698928807080504
R	pre	T cells	Myeloid	36	0.01613494917183665	0.0069061702218503095
R	pre	T cells	T cells	36	0.032721826635537195	0.01658612451240961
R	pre	T cells	Tumor_Gp1	29	0.011043489551255387	0.00564949694111866
R	pre	Tumor_Gp1	B & Plasma	50	0.01371174719188417	0.00322232262591048
R	pre	Tumor_Gp1	Endothelial	96	0.009810047189141137	0.004361339407388549
R	pre	Tumor_Gp1	Fibroblast	116	0.006410340338050339	0.002894353844976185
R	pre	Tumor_Gp1	Myeloid	75	0.014509245917929974	0.004522386811056392
R	pre	Tumor_Gp1	T cells	66	0.020130014170970406	0.008482437266647682
R	pre	Tumor_Gp1	Tumor_Gp1	220	0.006216692544441358	0.002454393251551121
R	pre	Tumor_Gp1	Tumor_Gp2	3	0.02333931237332984	0.02343948011004229
R	pre	Tumor_Gp2	B & Plasma	1	0.07553840942609161	0.07553840942609161
R	pre	Tumor_Gp2	Myeloid	3	0.1039056841367993	0.08660423071627056
R	pre	Tumor_Gp2	T cells	5	0.08627756001945498	0.0399200587804795
R	pre	Tumor_Gp2	Tumor_Gp1	1	0.08199931431945436	0.08199931431945436
