source	target	weight.x	weight.y	weight.diff	weight	comp_type	weight_type
T cells	B & Plasma	0.0460818231028783	0.04118488877958173	0.004896934323296569	0.004896934323296569	Post-treatment: R vs NR	R > NR
T cells	Endothelial	0.02968247599622641	0.02306468202735971	0.006617793968866699	0.006617793968866699	Post-treatment: R vs NR	R > NR
T cells	Fibroblast	0.01759105193181097	0.0146033835382713	0.0029876683935396685	0.0029876683935396685	Post-treatment: R vs NR	R > NR
T cells	Myeloid	0.02198178425222789	0.0209225714744989	0.0010592127777289892	0.0010592127777289892	Post-treatment: R vs NR	R > NR
T cells	T cells	0.04999422056318114	0.05020785663731428	-2.1363607413314029e-4	2.1363607413314029e-4	Post-treatment: R vs NR	R < NR
T cells	Tumor_Gp1	0.0233806047520611	0.01491391010349819	0.00846669464856291	0.00846669464856291	Post-treatment: R vs NR	R > NR
T cells	Tumor_Gp2	0	0.0379380746855746	-0.0379380746855746	0.0379380746855746	Post-treatment: R vs NR	R < NR
Tumor_Gp1	B & Plasma	0.04589415761468144	0.04442626115437701	0.0014678964603044298	0.0014678964603044298	Post-treatment: R vs NR	R > NR
Tumor_Gp1	Endothelial	0.02051649025006808	0.01430561051843063	0.006210879731637449	0.006210879731637449	Post-treatment: R vs NR	R > NR
Tumor_Gp1	Fibroblast	0.01745103973096027	0.01066489322878017	0.0067861465021800994	0.0067861465021800994	Post-treatment: R vs NR	R > NR
Tumor_Gp1	Myeloid	0.02959531399192249	0.02744051432618594	0.0021547996657365516	0.0021547996657365516	Post-treatment: R vs NR	R > NR
Tumor_Gp1	T cells	0.03567266163324971	0.03301010961258627	0.0026625520206634418	0.0026625520206634418	Post-treatment: R vs NR	R > NR
Tumor_Gp1	Tumor_Gp1	0.01542646432947058	0.01512700067299019	2.994636564803907e-4	2.994636564803907e-4	Post-treatment: R vs NR	R > NR
Tumor_Gp2	B & Plasma	0.15291637130343153	0.07006718891687017	0.08284918238656136	0.08284918238656136	Post-treatment: R vs NR	R > NR
Tumor_Gp2	Endothelial	0.07567200824232513	0.03392628069244926	0.04174572754987587	0.04174572754987587	Post-treatment: R vs NR	R > NR
