patient	mandard_group	sample_type	cellgp	gene	logcpm	response
P05	good	Baseline	other CD8	CXCR1	1.1347081238398906	WR
P05	good	Baseline	other CD8	ACKR3	0	WR
P05	good	Baseline	cytotoxic CD8	CCR4	3.474410380032124	WR
P05	good	Treat	exhausted CD8	CXCR1	0	WR
P05	good	Baseline	other CD8	CX3CR1	0	WR
P05	good	Treat	exhausted CD8	CCR2	2.235815023593857	WR
P05	good	Baseline	other CD8	CXCR4	7.741181442946186	WR
P05	good	Baseline	Treg	CXCR1	0.5004724371117315	WR
P06	NA	Baseline	other CD8	CX3CR1	1.6681714597963921	NA
P06	NA	Baseline	other CD8	CXCR2	0	NA
P06	NA	Baseline	other CD8	CXCR4	7.829486578305918	NA
P06	NA	Baseline	other CD8	CXCR3	4.763596045548645	NA
P06	NA	Baseline	NK	CCR5	3.200477262194916	NA
P06	NA	Baseline	other CD8	ACKR3	1.6681714597963921	NA
P06	NA	Baseline	NK	CCR2	1.0335742634011762	NA
P06	NA	Baseline	other CD8	CCR5	3.784749286410675	NA
P06	NA	Baseline	cytotoxic CD8	CX3CR1	1.5738936329545101	NA
P06	NA	Baseline	NK	CX3CR1	1.7097788238811098	NA
P06	NA	Baseline	cytotoxic CD8	ACKR3	0.24156707683828912	NA
P06	NA	Baseline	NK	CCR6	3.6409346959735194	NA
P06	NA	Baseline	Treg	CCR4	4.92856104737859	NA
P06	NA	Baseline	NK	CXCR2	0	NA
P06	NA	Baseline	other CD8	CXCR1	0	NA
P06	NA	Baseline	NK	CXCR4	7.830308796777225	NA
P06	NA	Baseline	NK	CXCR3	4.496957599002251	NA
P06	NA	Baseline	Treg	CCR2	1.5386178524973537	NA
P06	NA	Baseline	cytotoxic CD8	CXCR3	4.91252231398031	NA
P06	NA	Baseline	NK	ACKR3	0	NA
P06	NA	Baseline	other CD8	CCR4	4.114710498840061	NA
P06	NA	Baseline	other CD8	CCR2	1.6681714597963921	NA
P06	NA	Baseline	Treg	CX3CR1	0.7407195901289728	NA
P06	NA	Baseline	Treg	CXCR4	7.144474166930462	NA
P06	NA	Baseline	NK	CCR4	2.6798712931883832	NA
P06	NA	Baseline	Treg	CCR5	3.014955425868237	NA
P06	NA	Baseline	Treg	CXCR1	0	NA
P06	NA	Baseline	other CD8	CCR6	4.8344662250317	NA
P06	NA	Baseline	cytotoxic CD8	CXCR2	0.24156707683828912	NA
P06	NA	Baseline	NK	CXCR1	0.6447694988617827	NA
P06	NA	Baseline	Treg	ACKR3	0.9014852817124963	NA
P06	NA	Baseline	exhausted CD8	CX3CR1	0.7368536438886162	NA
