response	sample_type	clone_cat	celltype	n_cell	n_cell_total	cell_proportion	response_stype
R	post	Contracted clones in cytotoxic clusters	T_Mito	23	496	0.046370967741935484	R-post
R	post	Contracted clones in cytotoxic clusters	CD4_KLRB1	15	496	0.03024193548387097	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_CD74	4	496	0.008064516129032258	R-post
R	post	Contracted clones in cytotoxic clusters	CD8_IFIT1	5	496	0.010080645161290322	R-post
R	post	Contracted clones in cytotoxic clusters	T_IL7R	11	496	0.02217741935483871	R-post
R	post	Contracted clones in cytotoxic clusters	T_Ribo	12	496	0.024193548387096774	R-post
NR	pre	Contracted clones in cytotoxic clusters	CD8_ANXA1	327	5319	0.06147772137619854	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_CCL5	476	5319	0.08949050573416055	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_CX3CR1	160	5319	0.03008084226358338	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_FOS	299	5319	0.056213573980071443	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_GZMK	655	5319	0.12314344801654446	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_KLRB1	102	5319	0.019176536943034405	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD4_CXCL13	27	5319	0.005076142131979695	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_CXCL13	1998	5319	0.3756345177664975	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_TYMS	363	5319	0.06824591088550479	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	T_MKI67	321	5319	0.06034968979131416	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	Treg_TNFRSF4	27	5319	0.005076142131979695	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	T_Mito	81	5319	0.015228426395939087	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD4_KLRB1	262	5319	0.04925737920661778	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_CD74	52	5319	0.009776273735664599	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	CD8_IFIT1	99	5319	0.018612521150592216	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	T_IL7R	2	5319	3.7601052829479227e-4	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	T_Ribo	61	5319	0.011468321112991163	NR-pre
NR	pre	Contracted clones in cytotoxic clusters	Treg_LTB	7	5319	0.0013160368490317729	NR-pre
NR	post	Contracted clones in cytotoxic clusters	CD8_ANXA1	25	1021	0.024485798237022526	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_CCL5	53	1021	0.05190989226248776	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_CX3CR1	16	1021	0.015670910871694418	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_FOS	95	1021	0.0930460333006856	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_GZMK	171	1021	0.16748285994123407	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_KLRB1	15	1021	0.014691478942213516	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD4_CXCL13	10	1021	0.009794319294809012	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_CXCL13	447	1021	0.43780607247796277	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_TYMS	61	1021	0.059745347698334964	NR-post
NR	post	Contracted clones in cytotoxic clusters	T_MKI67	34	1021	0.03330068560235064	NR-post
NR	post	Contracted clones in cytotoxic clusters	Treg_TNFRSF4	2	1021	0.0019588638589618022	NR-post
NR	post	Contracted clones in cytotoxic clusters	T_Mito	17	1021	0.01665034280117532	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD4_KLRB1	22	1021	0.021547502448579822	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_CD74	1	1021	9.794319294809011e-4	NR-post
NR	post	Contracted clones in cytotoxic clusters	CD8_IFIT1	18	1021	0.01762977473065622	NR-post
NR	post	Contracted clones in cytotoxic clusters	T_IL7R	3	1021	0.002938295788442703	NR-post
NR	post	Contracted clones in cytotoxic clusters	T_Ribo	28	1021	0.02742409402546523	NR-post
NR	post	Contracted clones in cytotoxic clusters	Treg_LTB	3	1021	0.002938295788442703	NR-post
R	pre	Contracted clones in exhausted clusters	CD8_ANXA1	132	10313	0.012799379424027925	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_CCL5	676	10313	0.06554833705032483	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_CX3CR1	8	10313	7.757199650926016e-4	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_FOS	85	10313	0.008242024629108892	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_GZMK	248	10313	0.02404731891787065	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_KLRB1	398	10313	0.03859206826335693	R-pre
R	pre	Contracted clones in exhausted clusters	CD4_CXCL13	201	10313	0.019489964122951616	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_CXCL13	5730	10313	0.5556094249975759	R-pre
R	pre	Contracted clones in exhausted clusters	CD8_TYMS	987	10313	0.09570445069329972	R-pre
R	pre	Contracted clones in exhausted clusters	T_MKI67	907	10313	0.0879472510423737	R-pre
R	pre	Contracted clones in exhausted clusters	Treg_TNFRSF4	94	10313	0.009114709589838068	R-pre
R	pre	Contracted clones in exhausted clusters	T_Mito	152	10313	0.01473867933675943	R-pre
R	pre	Contracted clones in exhausted clusters	CD4_KLRB1	237	10313	0.02298070396586832	R-pre
